text,gold,label,binary_label
"Hello gorgeous ,I’m *name* from call the midwife comment section,I saw your picture and I could not resist telling you how pretty you are",1-RAPPORT,0.0,0
Hi *name*. Where are you from?,8-NO-PERSUASION,0.0,0
I live in *location,1-RAPPORT,0.0,0
"I'm presently at *location*, Working with the United Nations Military for a 2 years contract",1-RAPPORT,0.0,0
You ?,1-RAPPORT,0.0,0
"I live in *location*. I visited the *location* for six months a few years ago, mostly *lists locations* and from there up to *location* to visit my sister who lives there!",8-NO-PERSUASION,0.0,0
Your work sounds interesting,8-NO-PERSUASION,0.0,0
Really thanks for the compliment,8-NO-PERSUASION,0.0,0
Are you married with kids *name* ?,1-RAPPORT,0.0,0
"Not married, single mother. You?",8-NO-PERSUASION,0.0,0
What happen to your husband?,1-RAPPORT,0.0,0
Never married as I got pregnant and my boyfriend did not want the baby but I did... so chose to become single mother,8-NO-PERSUASION,0.0,0
Oh I’m sorry about that *name*.,3-EMOTION,0.0,0
"I also have a 5 year old daughter, I can’t believe I’m about to tell you this tho",1-RAPPORT,0.0,0
"I a widower. I lost my wife and my first daughter *child’s name* through Polycystic Kidney Disease, my wife died at the age of 47. I was emotionally devastated and lost full focus, but I stood firm because I have to be strong for *child’s name*... Right now, she's the apple of my eyes and the Light of my life... I have so much delight in her",3-EMOTION,0.0,0
"So sorry to hear this. Love the name *child’s name*! Thank you for sharing! If you are in *location*, who takes care of your daughter? Is she living in *location*?",8-NO-PERSUASION,0.0,0
Yes She’s with her nanny in *location,1-RAPPORT,0.0,0
Have you ever been in any online dating before ?,1-RAPPORT,0.0,0
Nope!!!,8-NO-PERSUASION,0.0,0
Really,8-NO-PERSUASION,0.0,0
,8-NO-PERSUASION,0.0,0
What do you do?,1-RAPPORT,0.0,0
"I used to be in the music biz first at *company name* records and later as a Party Planner. Earned enough to retire from that early, so basically stay at home now.",8-NO-PERSUASION,0.0,0
"I never did online dating cause I was afraid of being catfished! I had a relationship that lasted 11 yrs with another guy, but that ended pretty badly... so I'm alone now.",8-NO-PERSUASION,0.0,0
What happened between you two ?,1-RAPPORT,0.0,0
He cheated on me!,8-NO-PERSUASION,0.0,0
I was visiting my sister in *location* for my niece's wedding... I stayed there for 6 months as I was considering immigrating there,8-NO-PERSUASION,0.0,0
"He found someone else while I was away, but later I found out he'd been cheating even before I left.",8-NO-PERSUASION,0.0,0
"Oh no,I’m so sorry bout that",1-RAPPORT,0.0,0
"Real men actually don’t cheat ,he his a disgrace to mankind and I always hate men who cheat on their wife",1-RAPPORT,0.0,0
But are you fully over him now ?,1-RAPPORT,0.0,0
"Yes, after 11 years it was a shock! This happened about 5 years ago. Totally over him now!",8-NO-PERSUASION,0.0,0
"Do you mind if I ask you something personal? Oh, well, I'll ask and you don't have to answer if you dont want to ...",8-NO-PERSUASION,0.0,0
I checked your photos and noticed a tatoo just below your neck. Are those crosses? Any special meaning?,8-NO-PERSUASION,0.0,0
Oh year it’s a cross,8-NO-PERSUASION,0.0,0
"✝,I had that 6 years ago,",8-NO-PERSUASION,0.0,0
Do you believe in Christ ?,1-RAPPORT,0.0,0
"Yes, but I tolerant of other religions. Grew up as a Christian but now have expanded views.",8-NO-PERSUASION,0.0,0
"Same here pretty,my traveling experience showed me allot about religions and what to believe in",1-RAPPORT,0.0,0
But I’m a strong believer of Christ,1-RAPPORT,0.0,0
Is that your grandson on your profile?,1-RAPPORT,0.0,0
,8-NO-PERSUASION,0.0,0
Good to know!,8-NO-PERSUASION,0.0,0
Yes!,8-NO-PERSUASION,0.0,0
He’s so adorable,1-RAPPORT,0.0,0
How old his he now?,1-RAPPORT,0.0,0
Just over a year!,8-NO-PERSUASION,0.0,0
Love him to bits!,8-NO-PERSUASION,0.0,0
My son *child’s name* married 2 yrs ago,8-NO-PERSUASION,0.0,0
How old are you if you dont mind my asking?,8-NO-PERSUASION,0.0,0
"Also, what kind of Christian faith were you brought up in?",8-NO-PERSUASION,0.0,0
"And finally, why did you choose the military as a profession and where have your travels led you?",8-NO-PERSUASION,0.0,0
I have to go out now but will check your answers when I get back! Enjoying out chat!,8-NO-PERSUASION,0.0,0
"*age* years , you?",1-RAPPORT,0.0,0
Catholic you?,1-RAPPORT,0.0,0
"My dad was with the marine,so growing up with a military father gave me much courage to be willing to save lives serve and protect my country and the world",1-RAPPORT,0.0,0
"It’s a nice job tho,Choosing to step into the same shoes my dad wore...",1-RAPPORT,0.0,0
*lists counties* currently in *location* and so more,1-RAPPORT,0.0,0
"I can’t tell you all tho,some are classified informations that should not be compromise",5-AUTHORITY,0.0,0
I’m also enjoying this conversation and where it’s leading,1-RAPPORT,0.0,0
Are you still busy?,1-RAPPORT,0.0,0
"Yes, putting the shopping away and need to do some cooking... what time is it there? I'll be able to talk to you later if you are around?",8-NO-PERSUASION,0.0,0
,8-NO-PERSUASION,0.0,0
Alright I will be on this end waiting whenever you ready Gorgeous,1-RAPPORT,0.0,0
Just,8-NO-PERSUASION,0.0,0
"Ok, I thought there would be more of a time difference. Here its pm... Talk in a while then.",8-NO-PERSUASION,0.0,0
Alright pretty,1-RAPPORT,0.0,0
Take your time,1-RAPPORT,0.0,0
"Hi, is this a good time for you?",8-NO-PERSUASION,0.0,0
Tks for answering my questions.,8-NO-PERSUASION,0.0,0
You dont look *age* at all!!! It must be all that military training!,8-NO-PERSUASION,0.0,0
Do you work out a lot?,8-NO-PERSUASION,0.0,0
"Ok, I'm 2 yrs older than you. *age*.",8-NO-PERSUASION,0.0,0
I was brought up Presbyterian by my *nationality* parents but switched to the Anglican Church when I was a teenager as I liked the Pastor who was *nationality* and his progressive ideas about leading the Youth Group.,8-NO-PERSUASION,0.0,0
I’m here now,8-NO-PERSUASION,0.0,0
Yes it’s a good time,8-NO-PERSUASION,0.0,0
