text,label,binary_label,target_column
Hi.,8-NO-PERSUASION,0,4-LOGIC
not much.,8-NO-PERSUASION,0,4-LOGIC
do you donate to any charities,1-RAPPORT,0,4-LOGIC
Howmuch do you think you can donate,2-NEGOTIATE,0,4-LOGIC
That's great.,1-RAPPORT,0,4-LOGIC
So wonderful for you to do that.,1-RAPPORT,0,4-LOGIC
Would you like to maybe donate 1.75 instead of 1.50?,2-NEGOTIATE,0,4-LOGIC
So glad you decided to donate.,1-RAPPORT,0,4-LOGIC
This will really help,3-EMOTION,0,4-LOGIC
"Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",3-EMOTION,0,4-LOGIC
"I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?",2-NEGOTIATE,0,4-LOGIC
"You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?",1-RAPPORT,0,4-LOGIC
Do you have children yourself?,3-EMOTION,0,4-LOGIC
"What if your children were in a position these kids are in, wouldn't you want someone to help them?",3-EMOTION,0,4-LOGIC
What do you say? ,2-NEGOTIATE,0,4-LOGIC
"I understand it may not seem like a lot, but it can really make a difference.",3-EMOTION,0,4-LOGIC
"Hello, are you familiar with the charity: Save the Children?",8-NO-PERSUASION,0,4-LOGIC
That is wonderful!,1-RAPPORT,0,4-LOGIC
Save the Children has received top ratings for achieving incredible results for children. Save the Children does what it promises. ,5-AUTHORITY,0,4-LOGIC
Save the Children does what it promises.,5-AUTHORITY,0,4-LOGIC
"Your donation would make a difference to children among 120 countries, including the United States.",3-EMOTION,0,4-LOGIC
That is a generous donation! ,1-RAPPORT,0,4-LOGIC
You can choose an amount anywhere from $0 - $0.30 ,2-NEGOTIATE,0,4-LOGIC
Awesome!,1-RAPPORT,0,4-LOGIC
"Across the United States, more than 14 million children, or 1 in 5, grow up in poverty. Save the Children assists these children with their education, protection and emergency programs.",3-EMOTION,0,4-LOGIC
Yes we must. Your .30 donation will certainly assist these children.,3-EMOTION,0,4-LOGIC
Okay just to confirm how much would you like to donate to Save the Children?,2-NEGOTIATE,0,4-LOGIC
What are your plans for the day?,1-RAPPORT,0,4-LOGIC
"Yes, I am getting ready for work as well.",1-RAPPORT,0,4-LOGIC
"Today I am asking if you would consider even a small donation to STC, even $0.05 would help.",2-NEGOTIATE,0,4-LOGIC
Thank you!,1-RAPPORT,0,4-LOGIC
"Well, STC has already pledged to help the kids in Hawaii. They do not waste any time and they get right to the world's problems. I know I would feel horrible if any kids in my family/extended family were suffering.",3-EMOTION,0,4-LOGIC
I know I would feel horrible if any kids in my family/extended family were suffering.,1-RAPPORT,0,4-LOGIC
"Well, STC has already pledged to help the kids in Hawaii.",3-EMOTION,0,4-LOGIC
They do not waste any time and they get right to the world's problems.,3-EMOTION,0,4-LOGIC
So you really understand kids!,1-RAPPORT,0,4-LOGIC
I already have you down for $0.05. Were you willing to pledge more?,2-NEGOTIATE,0,4-LOGIC
That is fantastic!,1-RAPPORT,0,4-LOGIC
"I agree, it really is. It breaks my heart to know that while I have so much freedom there are kids that look at a simple meal as a lifesaving chance.",3-EMOTION,0,4-LOGIC
"So I have you down for $0.10, right?",2-NEGOTIATE,0,4-LOGIC
As of Feb 2018 they were rated 97% transparant and an 88% total rating. ,5-AUTHORITY,0,4-LOGIC
They save children from horrible fates like starvation. Something simple and easy to fix. No child should ever lose their life for lack of food.,3-EMOTION,0,4-LOGIC
They save children from horrible fates like starvation.,3-EMOTION,0,4-LOGIC
No child should ever lose their life for lack of food.,3-EMOTION,0,4-LOGIC
"There is a lack of support for children in developing countries, especially in war zones. For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",3-EMOTION,0,4-LOGIC
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",3-EMOTION,0,4-LOGIC
"There is a lack of support for children in developing countries, especially in war zones.",3-EMOTION,0,4-LOGIC
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",3-EMOTION,0,4-LOGIC
That is incredibly generous!,1-RAPPORT,0,4-LOGIC
Thank you!,1-RAPPORT,0,4-LOGIC
You donation combined with others always makes a difference.,3-EMOTION,0,4-LOGIC
Yes.,8-NO-PERSUASION,0,4-LOGIC
Hello,8-NO-PERSUASION,0,4-LOGIC
I would liek to ask if you would want to make  small donation to this cause,2-NEGOTIATE,0,4-LOGIC
Hey,8-NO-PERSUASION,0,4-LOGIC
"My name is Ren, how are you today?",1-RAPPORT,0,4-LOGIC
I see we should discuss a social issue.,8-NO-PERSUASION,0,4-LOGIC
I feel the same way! ,1-RAPPORT,0,4-LOGIC
"It was one of those emotional videos, showing children and their families without food and other necessities. It got me thinking of how I can help.",3-EMOTION,0,4-LOGIC
My heart just goes out to them. ,3-EMOTION,0,4-LOGIC
Would you be willing to donate a portion of your bonus to these children?,2-NEGOTIATE,0,4-LOGIC
Things add up and can make a difference in someone's life.,3-EMOTION,0,4-LOGIC
Will you help us?,2-NEGOTIATE,0,4-LOGIC
Actually I haven't. I was just looking for a way to make a contribution and found them.,1-RAPPORT,0,4-LOGIC
How much do you like to donate to the charity?,2-NEGOTIATE,0,4-LOGIC
We really have to help each other in this world.,3-EMOTION,0,4-LOGIC
Thank you so much for our talk today and your donation.,1-RAPPORT,0,4-LOGIC
"Good to hear, do anything special over the weekend",1-RAPPORT,0,4-LOGIC
"Cool, it's just been a relaxing weekend for me.",1-RAPPORT,0,4-LOGIC
sorry my tablet just disconnected for a minute.,8-NO-PERSUASION,0,4-LOGIC
Ok so you know that their is a lot of children in danger in those war torn areas.,3-EMOTION,0,4-LOGIC
There is a charity that is focusing on helping children in these areas like Syria and they are known as Save the Children Foundation.,4-LOGIC,1,4-LOGIC
Are you willing to donate a certain amount?,2-NEGOTIATE,0,4-LOGIC
"UNICEF is a great charity as well, but our donations should be focused on Save the Children if that is okay. ",4-LOGIC,1,4-LOGIC
I mean UNICEF is very well known and they do great work but right now there is trouble for these children.  ,4-LOGIC,1,4-LOGIC
"For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",3-EMOTION,0,4-LOGIC
Is Wikipedia a trusted source?,4-LOGIC,1,4-LOGIC
Wikipedia is written by average joes.,4-LOGIC,1,4-LOGIC
Okay have a good night,8-NO-PERSUASION,0,4-LOGIC
Hello!,8-NO-PERSUASION,0,4-LOGIC
"It's called Save the Children. It's a rather large organization and well known, you can search for it outside this chat. It's not just a made up organization for the sake of the chat.",5-AUTHORITY,0,4-LOGIC
It's not just a made up organization for the sake of the chat.,5-AUTHORITY,0,4-LOGIC
It's called Save the Children.,5-AUTHORITY,0,4-LOGIC
I understand.,1-RAPPORT,0,4-LOGIC
"I'm in a similar situation, and I'm hoping to buy a house soon with my boyfriend.",1-RAPPORT,0,4-LOGIC
I'd guess that's why we're both on mechanical turk early on a Sunday. ,1-RAPPORT,0,4-LOGIC
"However, donating to charity does help those even less fortunate than me, so I try to carve out some money here and there to help out.",3-EMOTION,0,4-LOGIC
"It seems like this would be an easy way to send some money to organization that could really use it, and it wouldn't take any extra time, either.",4-LOGIC,1,4-LOGIC
"I don't think you have to donate by the rules of the chat, but when you think about it, it's often the first, smallest donation that can be the hardest and the most rewarding.",3-EMOTION,0,4-LOGIC
" If you donated less than a dollar you might not notice that in your own household budget, but combined with all the other donations from this task it could make a huge difference in the life of children who have no parents to take care of them, or children who are fleeing violence or starvation",3-EMOTION,0,4-LOGIC
I agree.,1-RAPPORT,0,4-LOGIC
"Oh wait, we need at least 10 minimum chat turns.",8-NO-PERSUASION,0,4-LOGIC
There's different kinds of childhood poverty between those three states and I wish there was more I could do to help.,3-EMOTION,0,4-LOGIC
If you're an adult and you're homeless it's a very different situation than being 6 years old and homeless.,3-EMOTION,0,4-LOGIC
"We talk a lot about children in other countries, but there's a lot of need for American children too.",3-EMOTION,0,4-LOGIC
Hello,8-NO-PERSUASION,0,4-LOGIC
