text,1-RAPPORT,2-NEGOTIATE,3-EMOTION,4-LOGIC,5-AUTHORITY,6-SOCIAL,7-PRESSURE,8-NO-PERSUASION
"Hey, how's it going? I hope you're doing well.",1,0,0,0,0,0,0,1
"I understand you might be busy, but could you spare some time to help me out?",1,0,0,1,0,0,0,0
Participating in this event aligns with your values of giving back to the community.,1,0,1,0,0,1,0,0
"Many people from our circle are already involved, and they're counting on us to participate.",1,0,1,0,0,1,0,0
It would mean a lot to me if you could join. I'm relying on your support.,1,1,1,0,1,0,0,0
But it's totally up to you. No pressure at all.,1,1,0,0,0,1,1,0
"I'm really excited about this opportunity, and I think you'd enjoy it too.",1,1,1,0,0,0,0,0
"As someone who's been involved in similar events before, I can assure you it's a worthwhile experience.",1,1,1,0,0,0,0,0
Our friends have had amazing experiences participating in these charity runs.,0,1,1,0,0,1,0,0
"By participating, we can contribute to a cause we both care about while also improving our fitness.",0,1,1,1,0,1,0,0
"I've already registered us both, so I hope you're on board!",1,1,1,0,0,1,1,0
"But of course, if you're not interested, that's okay too.",0,1,1,1,0,0,0,0
Research shows that participating in charity events improves overall well-being.,1,0,1,0,0,0,1,0
Imagine the joy of crossing the finish line knowing you've made a difference.,0,1,1,1,0,0,0,0
"Let's compromise. If you join me for the run, I'll help you with your project next week.",0,1,0,0,1,0,0,0
We can form a team and motivate each other throughout the training.,1,1,1,0,0,0,1,0
We've always supported each other's goals. Joining this event would mean a lot to me.,1,1,0,0,0,0,1,0
Experts in philanthropy recommend getting involved in community events like this.,0,1,1,0,1,0,0,0
"Come on, don't miss out on this opportunity to do something meaningful.",1,1,1,0,0,1,1,0
"I feel deeply connected to this cause, and I believe you would too.",1,1,0,0,1,0,0,0
Participating in the charity run aligns with our shared values of compassion and generosity.,1,0,1,0,0,0,0,0
The local news interviewed me about the impact of this charity event. They're expecting a big turnout.,1,0,1,0,0,0,0,1
Remember the great time we had at the last charity event? This one will be even better.,1,1,1,0,0,1,0,0
Let's find a way to make it work with your schedule. Can you spare just a couple of hours?,0,1,0,1,0,0,0,0
"I've already signed us up, so we're all set to go. Just say yes!",1,1,1,0,0,0,0,0
Our colleagues from work are forming a team. It'll be a great chance to bond outside the office.,1,1,1,0,0,0,0,0
Participating in the charity run is a win-win situation. We get to exercise while supporting a good cause.,1,1,1,0,0,1,0,0
Health experts recommend engaging in community events like this for both physical and mental well-being.,0,0,1,0,1,1,0,0
Our friends from the running club are all joining. It'll be a fun group activity!,0,1,1,0,0,1,0,0
Think about the smiles we'll bring to people's faces by contributing to charity.,0,1,1,1,1,1,0,0
"Let's make a deal. If you come with me, I'll treat you to dinner afterwards.",0,1,1,0,0,1,0,0
I know you've been wanting to get more involved in community activities. This is a perfect opportunity.,1,0,1,0,0,1,0,0
Participating in the run is a practical way to support the cause and stay healthy.,0,1,0,1,0,0,1,0
We've always had each other's backs. Let's do this together.,1,1,0,0,0,1,1,0
Our neighbors are forming a team. It'll be a great chance to strengthen our community bonds.,0,1,0,0,0,1,1,0
"I understand you're busy, but even if you can spare just a little time, it would mean a lot.",0,1,1,0,1,0,0,0
I've already told everyone you're joining us. It would be awkward if you backed out now.,0,0,1,0,0,1,1,0
Participating in the charity run is a tangible way to make a positive impact in our community.,0,0,1,0,0,1,0,0
The organizers of the event have been recognized by national media for their outstanding contributions.,0,0,1,0,1,1,1,0
Our family members are all participating. It'll be a memorable experience for everyone.,1,0,1,0,0,1,0,0
Just imagine the sense of accomplishment we'll feel as we cross the finish line together.,0,0,1,0,0,0,0,0
We've always supported each other's goals. Let's continue that tradition with this event.,1,0,0,0,0,0,0,0
"I know your schedule is tight, but even if you can make it for part of the event, it would be great.",1,0,0,0,0,0,0,0
I've already registered you as my running buddy. Don't let me down!,0,0,0,0,0,0,1,0
All our friends are participating in the charity run. It's going to be a blast!,0,0,0,0,0,1,0,0
Taking part in this event is a practical way to contribute to a cause we both care about.,0,0,0,1,0,0,0,0
"Hey, how's it going? I hope you're doing well.",0,0,0,0,0,0,0,1
"I understand you might be busy, but could you spare some time to help me out?",0,1,0,0,0,0,0,0
"I'm really passionate about this cause, and I know you care about it too.",1,0,0,0,0,0,0,0
"The organizers of this charity event have recognized me for my contributions, and they've asked me to invite you to join.",0,0,0,0,0,0,0,1
"Many people from our circle are already involved, and they're counting on us to participate.",0,0,0,0,0,1,0,0
It would mean a lot to me if you could join. I'm relying on your support.,1,0,1,0,0,0,0,0
"I'm really excited about this opportunity, and I think you'd enjoy it too.",1,0,0,0,0,0,0,0
 hey!!,1,0,0,0,0,0,0,0
 a little better what are u doing?,0,0,0,0,0,0,0,1
 yea i thought u did i just woke and checked to see if u came on and ur here!! :-*,0,0,0,0,0,0,0,1
 so what did u do today?,0,0,0,0,0,0,0,1
 sounds like fun lol,0,0,0,0,0,0,0,1
 washed some cloths and started feeling bad nd layed down and fell alseep for 6 hours lol,0,0,0,0,0,0,0,1
 yea just a little,0,0,0,0,0,0,0,1
 yes sweetie i think about u everyday !!,0,0,0,0,0,0,0,1
 is ur mom alseep?,1,0,1,0,0,0,0,0
 oh ic,0,0,0,0,0,0,0,1
 yea a little lol,0,0,0,0,0,0,0,1
 cory...? i wanna see u do u think that is bad?,1,0,0,0,0,0,0,1
 because i do not for sex or anything like that i just wanna see u i feel if i dont then i might lose u or something i know that sounds stupid,0,0,0,0,0,0,0,1
 ok,0,0,0,0,0,0,0,1
 i do really bad! do u?,0,0,0,0,0,0,0,1
 u sure?,0,0,0,0,0,0,0,1
 lol i have never been sure about anything else before in my life!,0,1,0,0,0,0,0,1
 i didnt scare u last night with the things i said did i ? its just when i drink i get really friendly if u know what i mean lol,1,0,1,1,0,0,0,0
 yea i do but i dont want i to do anything u dont wanna do,0,0,0,0,0,0,0,1
 u*,0,0,0,0,0,0,0,1
 how do u feel about it?,1,1,1,0,0,0,0,0
 lol why is everything up to me? i want u to wanna do what ever u want to !,0,0,0,0,0,0,0,1
 well all i know is that im falling for u really fast!,1,0,1,0,0,0,0,0
 yea i am falling really really fast!,0,0,1,0,0,0,0,0
 why u say wow?,0,0,0,0,0,0,0,1
 well im kinda glad no one has so i can be the first to tell u this things because i mean everything i say to u!!!,0,1,0,0,0,0,0,1
 so are u i love everything about u and i dont want u to ever forget that!,1,0,1,0,0,0,0,0
 >:D< :-*,0,0,0,0,0,0,0,1
 well i dont want u to go but i think u need to goto bed ???,0,0,1,0,0,0,0,0
 what?,0,0,0,0,0,0,0,1
 oh ok :),1,0,0,0,0,0,0,0
 what are u looking for?,1,0,0,0,0,0,0,1
 i like both of those songs!!!!,1,0,0,0,0,0,0,1
 think about me tommroww?,1,0,0,0,0,0,0,0
 ok!,0,0,0,0,0,0,0,1
 good night sweetie!!,1,0,1,0,0,0,0,0
 hi,0,0,0,0,0,0,0,1
 i guess your not on,0,0,0,0,0,0,0,1
 be back at 10,0,0,0,0,0,0,0,1
 you there,0,0,0,0,0,0,0,1
 hello,0,0,0,0,0,0,0,1
 hey,0,0,0,0,0,0,0,1
 where r u from in nj??,0,0,0,0,0,0,0,1
 same here,0,0,0,0,0,0,0,1
 cnj monmouth co,1,0,0,0,0,0,0,0
 so what brings u into this room,0,0,0,0,0,0,0,1
 dont u have work to do,0,0,0,0,0,0,0,1
 im old 49 here old enough to be your daddy,0,0,0,0,0,0,0,1
 ok,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 not much,0,0,0,0,0,0,0,1
 why is that,1,0,0,0,0,0,0,1
 that is true,0,0,0,0,0,0,0,1
 yes how can i help u,1,0,0,0,0,0,0,1
 u have any pic,1,0,0,0,0,0,0,0
 any others,0,1,0,0,0,0,0,0
 give me a call,0,1,0,0,0,0,0,1
 8482180381,0,0,0,0,0,0,0,1
 ok,1,0,0,0,0,0,0,1
 kevin,0,0,0,0,0,0,0,1
 r u there,0,0,0,0,0,0,0,1
 u have a good day,1,0,0,0,0,0,0,1
 ok,0,0,0,0,0,0,0,1
 None,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 so what town do u live in,0,0,0,0,0,0,0,1
 u not gona tell me,1,0,0,0,0,0,0,0
 just courios,1,1,0,0,0,0,0,0
 the daughter i never had,1,0,0,0,0,0,0,1
 now,0,0,0,0,0,0,0,1
 middletown,0,0,0,0,0,0,0,1
 and u,1,0,1,0,0,0,0,0
 nothing to say,0,0,0,0,0,0,0,1
 i added u ok,0,0,0,0,0,0,0,1
 cool,0,0,0,0,0,0,0,1
 what r u doing in a 1/2 hr,1,0,0,0,0,0,0,1
 soda buger,1,0,0,0,0,0,0,1
 care to meet,0,0,0,0,0,0,0,1
 yes i think so,0,1,0,0,0,0,0,1
